id,url_product,name_product,price,img_product,cpu_name,gpu,ram_info,ram_type,max_ram_upgrade,storage_capacity,display_size,panel_type,resolution,color_gamut,refresh_rate,display_technology,port,webcam,battery_specifications,physical_dimensions,material,release_year
357993,https://www.thegioididong.com/laptop/asus-vivobook-go-e1504fa-r5-7520u-bq1160w,Asus Vivobook Go E1504FA R5 7520U (BQ1160W),14.090.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/357993/asus-vivobook-go-e1504fa-r5-7520u-bq1160w-thumb-638966564562227379-600x600.jpg,,"Card tích hợp, - AMD Radeon Graphics",16 GB,LPDDR5 (Onboard),16 GB,512 GB SSD M.2 NVMe PCIe,"15.6""",IPS,Full HD (1920 x 1080),,60Hz,Chống chói Anti Glare,"1 x USB 3.2, 1 x USB 2.0, Jack tai nghe 3.5 mm, 1 x USB 3.2 Gen 1 Type-C, HDMI 1.4",HD webcam,3-cell Li-ion - 42 WHrs,Dài 360.3 mm - Rộng 232.5 mm - Dày 17.9 mm - 1.63 kg,Vỏ nhựa,2025
334792,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i3-nj1634w,Asus Vivobook 15 X1504VA i3 1315U (NJ1634W),12.790.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334792/asus-vivobook-15-x1504va-i3-nj1634w-thumb-638760891054481940-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",8 GB,DDR4 (1 khe 8 GB + 1 khe rời),16 GB,512 GB SSD NVMe PCIe,"15.6""",,Full HD (1920 x 1080),45% NTSC,60Hz,"Chống chói Anti Glare, LED Backlit, 250 nits","1 x USB 2.0, Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, USB Type-C",HD webcam,"3-cell Li-ion, 42 Wh",Dài 359.7 mm - Rộng 232.5 mm - Dày 17.9 mm - 1.7 kg,Vỏ nhựa,2025
338323,https://www.thegioididong.com/laptop/asus-x1504va-core-5-bq185ws,Asus Vivobook 15 X1504VA Core 5 120U (BQ185WS),17.790.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/338323/asus-x1504va-core-5-bq185ws-thumb2-638929335505560781-600x600.jpg,,"Card tích hợp, - Intel Graphics",16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),24 GB,512 GB SSD NVMe M.2 PCIe Gen 4.0,"15.6""",IPS,Full HD (1920 x 1080),45% NTSC,60Hz,"Chống chói Anti Glare, LED Backlit, 250 nits","1 x USB 2.0, Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, USB Type-C",HD webcam,"3-cell Li-ion, 42 Wh",Dài 359.7 mm - Rộng 232.5 mm - Dày 17.9 mm - 1.7 kg,Vỏ nhựa,2025
360420,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-core-7-150u-bq295w,Asus Vivobook 15 X1504VA Core 7 150U (BQ295W),21.890.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/360420/asus-vivobook-15-x1504va-core-7-150u-bq295w-thumb-639016922618560744-600x600.jpg,,"Card tích hợp, - Intel Graphics",16 GB,DDR5 (1 khe 8 GB onboard + 1 khe 8 GB),24 GB,"512 GB SSD M.2 NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","15.6""",IPS,Full HD (1920 x 1080),45% NTSC,60Hz,"Chống chói Anti Glare, LED Backlit, 250 nits","2 x USB 3.2, 1 x USB 2.0, Jack tai nghe 3.5 mm, 1 x USB 3.2 Gen 1 Type-C, HDMI 1.4",HD 720p,"3-cell Li-ion, 42 Wh",Dài 359.7 mm - Rộng 232.5 mm - Dày 17.9 mm - 1.7 kg,Vỏ nhựa,2025
362621,https://www.thegioididong.com/laptop/asus-tuf-gaming-fa506ncq-r7-170-hn005w,Asus TUF Gaming FA506NCQ R7 170 (HN005W),23.890.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/362621/asus-tuf-gaming-fa506ncq-r7-170-hn005w-thumb-639059676707947017-600x600.jpg,,"Card rời, -, NVIDIA GeForce RTX 3050, 4 GB",16 GB,DDR5 (1 khe 16 GB + 1 khe rời),64 GB,"512 GB SSD M.2 NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB), Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4.0 mở rộng (nâng cấp tối đa 2 TB)","15.6""",IPS,Full HD (1920 x 1080),"62.5% sRGB, 47.34% Adobe RGB, 45% NTSC",144Hz,"Chống chói Anti Glare, Adaptive-Sync, 250 nits","Jack tai nghe 3.5 mm, 1 x USB 3.2 Gen 2 Type-C (Hỗ trợ DisplayPort), 3 x USB 3.2, LAN (RJ45)",HD webcam,"3-cell Li-ion, 48 Wh",Dài 359 mm - Rộng 256 mm - Dày 24.5 mm - 2.3 kg,Vỏ nhựa,2026
339683,https://www.thegioididong.com/laptop/asus-vivobook-14-x1404va-core-5-eb155ws,Asus Vivobook 14 X1404VA Core 5 120U (EB155WS),17.490.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339683/asus-vivobook-14-x1404va-core-5-eb155ws-638895760599785280-600x600.jpg,,"Card tích hợp, - Intel Graphics",16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),24 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","14""",IPS,Full HD (1920 x 1080),45% NTSC,60Hz,"Chống chói Anti Glare, LED Backlit, 250 nits","1 x USB 2.0, Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, USB Type-C",HD webcam,"3-cell Li-ion, 42 Wh",Dài 324.9 mm - Rộng 213.9 mm - Dày 17.9 mm - 1.4 kg,Vỏ nhựa,2025
358132,https://www.thegioididong.com/laptop/asus-vivobook-s14-s3407va-core-5-210h-ly146w,Asus Vivobook S14 S3407VA Core 5 210H (LY146W),19.890.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/358132/asus-vivobook-s14-s3407va-core-5-210h-ly146w-thumb-638965583427975379-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR5 (1 khe 8 GB onboard + 1 khe 8 GB),24 GB,"512 GB SSD M.2 NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280))","14""",IPS,WUXGA (1920 x 1200),45% NTSC,60Hz,"Chống chói Anti Glare, LED Backlit, 300 nits, Chứng nhận TÜV Rheinland","2 x USB 3.2, Jack tai nghe 3.5 mm, HDMI 1.4, 2 x USB-C 3.2 Gen 1 (hỗ trợ truyền dữ liệu, Power Delivery, DisplayPort)","Full HD Webcam, Camera IR","4-cell Li-ion, 70 Wh",Dài 315.2 mm - Rộng 223.4 mm - Dày 17.9 mm - 1.4 kg,Vỏ bằng kim loại - Chiếu nghỉ tay bằng nhựa,2025
342758,https://www.thegioididong.com/laptop/asus-vivobook-s16-s3607va-core-5-210h-rp155ws,Asus Vivobook S16 S3607VA Core 5 210H (RP155WS),20.590.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/342758/asus-vivobook-s16-s3607va-core-5-210h-rp155ws-thumb-638919139295786834-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR5 (1 khe 8 GB onboard + 1 khe 8 GB),24 GB,"512 GB SSD M.2 NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280))","16""",IPS,WUXGA (1920 x 1200),45% NTSC,144Hz,300 nits,"Jack tai nghe 3.5 mm, 2 x USB-C 3.2 Gen 1 (hỗ trợ Power Delivery/DisplayPort), 2 x USB-A (USB 5Gbps/USB 3.2 Gen 1), HDMI 1.4","Full HD Webcam, Camera IR","4-cell Li-ion, 70 Wh",Dài 357 mm - Rộng 250.6 mm - Dày 17.9 mm - 1.7 kg,Vỏ kim loại - Nắp lưng bằng nhựa,2025
338324,https://www.thegioididong.com/laptop/asus-k3605vc-i5-rp364w,Asus Gaming Vivobook 16X K3605VC i5 13420H (RP364W),19.890.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/338324/asus-k3605vc-i5-rp364w-thumb-638839519987207839-600x600.jpg,,"Card rời, -, NVIDIA GeForce RTX 3050, 4 GB",16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),24 GB,512 GB SSD NVMe M.2 PCIe Gen 4.0,"16""",IPS,WUXGA (1920 x 1200),45% NTSC,144Hz,"Chống chói Anti Glare, LED Backlit, 300 nits","Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, 1 x USB Type-C (chỉ hỗ trợ Power Delivery)",HD webcam,"3-cell Li-ion, 50 Wh",Dài 358.6 mm - Rộng 249.1 mm - Dày 18.9 mm - 1.8 kg,Vỏ nhựa - nắp lưng bằng kim loại,2025
339687,https://www.thegioididong.com/laptop/asus-tuf-gaming-f16-fx607vj-core-5-rl034w,Asus TUF Gaming F16 FX607VJ Core 5 210H (RL034W),22.490.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339687/asus-tuf-gaming-f16-fx607vj-core-5-rl034w-638895762903744422-600x600.jpg,,"Card rời, - NVIDIA GeForce RTX 3050, 6 GB",16 GB,DDR4 (1 khe 16 GB + 1 khe rời),64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","16""",IPS,Full HD+,45% NTSC,144Hz,"Thời gian phản hồi: 3 ms, Chống chói Anti Glare, 300 nits","Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, LAN (RJ45), 1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)",HD webcam,"4-cell, 56Wh",Dài 354 mm - Rộng 251 mm - Dày 26.7 mm - 2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,2025
